0.000, 3.559
0.500, 3.561
1.001, 3.553
1.501, 3.554
2.001, 3.552
2.501, 3.546
3.002, 3.549
3.502, 3.542
4.002, 3.546
4.502, 3.542
5.002, 3.537
5.503, 3.538
6.003, 3.529
6.503, 3.534
7.003, 3.526
7.503, 3.528
8.004, 3.524
8.504, 3.518
9.004, 3.518
9.504, 3.512
10.005, 3.513
10.505, 3.506
11.005, 3.507
11.505, 3.499
12.005, 3.500
12.506, 3.494
13.006, 3.493
13.506, 3.490
14.006, 3.485
14.506, 3.484
15.007, 3.478
15.507, 3.479
16.007, 3.470
16.507, 3.473
17.008, 3.470
17.508, 3.466
18.008, 3.464
18.508, 3.458
19.008, 3.454
19.509, 3.451
20.009, 3.446
20.509, 3.440
21.009, 3.437
21.509, 3.433
22.010, 3.427
22.510, 3.422
23.010, 3.416
23.510, 3.411
24.011, 3.407
24.511, 3.400
25.011, 3.394
25.511, 3.387
26.011, 3.380
26.512, 3.374
27.012, 3.367
27.512, 3.358
28.012, 3.349
28.513, 3.340
29.013, 3.331
29.513, 3.318
30.013, 3.306
30.513, 3.294
31.014, 3.281
31.514, 3.265
32.014, 3.252
32.514, 3.235
33.014, 3.216
33.515, 3.198
34.015, 3.175
34.515, 3.149
35.015, 3.113
35.516, 3.070
36.016, 3.038
36.516, 3.137
37.016, 3.185
37.516, 3.215
38.017, 3.238
38.517, 3.255
39.017, 3.270
39.517, 3.282
40.017, 3.293
40.518, 3.301
41.018, 3.308
41.518, 3.317
42.018, 3.322
42.519, 3.327
43.019, 3.331
43.519, 3.337
44.019, 3.342
44.519, 3.345
45.020, 3.349
45.520, 3.353
46.020, 3.357
46.520, 3.360
47.021, 3.362
47.521, 3.366
48.021, 3.367
48.521, 3.372
49.021, 3.373
49.522, 3.376
